112.94,9.4352,9.4,5
112.98,9.4845,9.45,5
113.03,9.5339,9.5,5
113.08,9.5835,9.55,5
113.13,9.6331,9.6,5
113.18,9.6829,9.65,5
113.23,9.7327,9.7,5
113.28,9.7827,9.75,5
113.33,9.8327,9.8,5
113.38,9.8828,9.85,5
113.43,9.933,9.9,5
113.48,9.9833,9.95,5
113.53,10.034,10,5
113.58,10.084,10.05,5
113.63,10.134,10.1,5
113.69,10.185,10.15,5
113.74,10.236,10.2,5
113.79,10.286,10.25,5
113.84,10.337,10.3,5
113.89,10.388,10.35,5
113.94,10.438,10.4,5
113.99,10.489,10.45,5
114.04,10.54,10.5,5
114.09,10.591,10.55,5
114.14,10.641,10.6,5
114.19,10.692,10.65,5
114.24,10.743,10.7,5
114.29,10.794,10.75,5
114.34,10.845,10.8,5
114.4,10.895,10.85,5
114.45,10.946,10.9,5
114.5,10.997,10.95,5
114.55,11.048,11,5
114.6,11.098,11.05,5
114.65,11.149,11.1,5
114.7,11.2,11.15,5
114.75,11.251,11.2,5
114.8,11.301,11.25,5
114.85,11.352,11.3,5
114.9,11.402,11.35,5
114.95,11.453,11.4,5
115,11.503,11.45,5
115.05,11.554,11.5,5
115.1,11.604,11.55,5
115.15,11.654,11.6,5
115.2,11.705,11.65,5
115.26,11.755,11.7,5
115.31,11.805,11.75,5
115.36,11.855,11.8,5
115.41,11.906,11.85,5
115.46,11.956,11.9,5
115.51,12.006,11.95,5
115.56,12.056,12,5
115.61,12.106,12.05,5
115.66,12.156,12.1,5
115.71,12.206,12.15,5
115.76,12.256,12.2,5
115.81,12.306,12.25,5
115.86,12.356,12.3,5
115.91,12.406,12.35,5
115.96,12.455,12.4,5
116.01,12.505,12.45,5
116.06,12.555,12.5,5
116.1,12.605,12.55,5
116.15,12.655,12.6,5
116.2,12.704,12.65,5
116.25,12.754,12.7,5
116.3,12.804,12.75,5
116.35,12.854,12.8,5
116.4,12.903,12.85,5
116.45,12.953,12.9,5
116.5,13.003,12.95,5
116.55,13.052,13,5
116.6,13.102,13.05,5
116.65,13.152,13.1,5
116.7,13.202,13.15,5
116.75,13.251,13.2,5
116.8,13.301,13.25,5
116.85,13.351,13.3,5
116.9,13.401,13.35,5
116.95,13.45,13.4,5
117,13.5,13.45,5
117.05,13.55,13.5,5
117.1,13.6,13.55,5
117.15,13.649,13.6,5
117.2,13.699,13.65,5
117.25,13.749,13.7,5
117.3,13.799,13.75,5
117.35,13.849,13.8,5
117.4,13.899,13.85,5
117.45,13.949,13.9,5
117.5,13.998,13.95,5
117.55,14.048,14,5
117.6,14.098,14.05,5
117.65,14.148,14.1,5
117.7,14.198,14.15,5
117.75,14.248,14.2,5
117.8,14.298,14.25,5
117.85,14.348,14.3,5
117.9,14.398,14.35,5
117.95,14.448,14.4,5
118,14.498,14.45,5
118.05,14.548,14.5,5
118.1,14.598,14.55,5
118.15,14.648,14.6,5
118.2,14.698,14.65,5
118.25,14.748,14.7,5
118.3,14.798,14.75,5
118.35,14.848,14.8,5
118.4,14.898,14.85,5
118.45,14.948,14.9,5
118.5,14.998,14.95,5
118.55,15.049,15,5
118.6,15.099,15.05,5
118.65,15.149,15.1,5
118.7,15.199,15.15,5
118.75,15.249,15.2,5
118.8,15.299,15.25,5
118.85,15.349,15.3,5
118.9,15.399,15.35,5
118.95,15.449,15.4,5
119,15.499,15.45,5
119.05,15.549,15.5,5
119.1,15.6,15.55,5
119.15,15.65,15.6,5
119.2,15.7,15.65,5
119.25,15.75,15.7,5
119.3,15.8,15.75,5
119.35,15.85,15.8,5
119.4,15.9,15.85,5
119.45,15.95,15.9,5
119.5,16,15.95,5
119.55,16.05,16,5
119.6,16.1,16.05,5
119.65,16.15,16.1,5
119.7,16.2,16.15,5
119.75,16.25,16.2,5
119.8,16.301,16.25,5
119.85,16.351,16.3,5
119.9,16.401,16.35,5
119.95,16.451,16.4,5
120,16.501,16.45,5
120.05,16.551,16.5,5
120.1,16.601,16.55,5
120.15,16.651,16.6,5
99.942,0.39574,0,5
99.918,0.78778,0.05,5
99.927,1.172,0.1,5
99.968,1.5446,0.15,5
100.04,1.902,0.2,5
100.14,2.2404,0.25,5
100.27,2.5556,0.3,5
100.43,2.842,0.35,5
100.62,3.0911,0.4,5
100.85,3.2889,0.45,5
101.11,3.4104,0.5,5
101.38,3.4256,0.55,5
101.63,3.3249,0.6,5
101.79,3.1325,0.65,5
101.85,2.896,0.7,5
101.79,2.6702,0.75,5
101.64,2.5005,0.8,5
101.44,2.4133,0.85,5
101.23,2.4136,0.9,5
101.04,2.4907,0.95,5
100.89,2.6252,1,5
100.79,2.7955,1.05,5
100.75,2.9824,1.1,5
100.75,3.1707,1.15,5
100.79,3.3494,1.2,5
100.87,3.5119,1.25,5
100.98,3.6545,1.3,5
101.1,3.7759,1.35,5
101.24,3.8765,1.4,5
101.38,3.9579,1.45,5
101.53,4.0221,1.5,5
101.67,4.0719,1.55,5
101.82,4.1102,1.6,5
101.96,4.1404,1.65,5
102.09,4.1663,1.7,5
102.23,4.1929,1.75,5
102.35,4.2274,1.8,5
102.46,4.2798,1.85,5
102.54,4.3566,1.9,5
102.6,4.4526,1.95,5
102.62,4.5567,2,5
102.61,4.6571,2.05,5
102.56,4.7411,2.1,5
102.48,4.7794,2.15,5
102.39,4.7561,2.2,5
102.34,4.6896,2.25,5
102.33,4.6076,2.3,5
102.36,4.5322,2.35,5
102.41,4.4754,2.4,5
102.48,4.4413,2.45,5
102.56,4.4292,2.5,5
102.64,4.4363,2.55,5
102.71,4.459,2.6,5
102.79,4.494,2.65,5
102.85,4.5383,2.7,5
102.91,4.5896,2.75,5
102.97,4.6461,2.8,5
103.02,4.7062,2.85,5
103.06,4.769,2.9,5
103.11,4.8335,2.95,5
103.15,4.8992,3,5
103.2,4.9654,3.05,5
103.24,5.0319,3.1,5
103.28,5.0983,3.15,5
103.33,5.1642,3.2,5
103.37,5.2296,3.25,5
103.41,5.2942,3.3,5
103.46,5.358,3.35,5
103.5,5.4208,3.4,5
103.55,5.4825,3.45,5
103.59,5.5432,3.5,5
103.64,5.6029,3.55,5
103.69,5.6614,3.6,5
103.74,5.719,3.65,5
103.79,5.7755,3.7,5
103.84,5.8312,3.75,5
103.89,5.8859,3.8,5
103.94,5.9398,3.85,5
103.99,5.993,3.9,5
104.04,6.0456,3.95,5
104.09,6.0975,4,5
104.14,6.1488,4.05,5
104.19,6.1997,4.1,5
104.24,6.2501,4.15,5
104.29,6.3002,4.2,5
104.34,6.3499,4.25,5
104.39,6.3993,4.3,5
104.44,6.4485,4.35,5
104.49,6.4974,4.4,5
104.54,6.5462,4.45,5
104.59,6.5947,4.5,5
104.64,6.6432,4.55,5
104.69,6.6915,4.6,5
104.74,6.7397,4.65,5
104.78,6.7878,4.7,5
104.83,6.8358,4.75,5
104.88,6.8838,4.8,5
104.93,6.9317,4.85,5
104.98,6.9796,4.9,5
